index;Alloy name;Al;Co;Fe;Ni;Si;Cr;Mn;Nb;Mo;Ti;Cu;V;Zr;Ta;Hf;W;PROPERTY: Microstructure;PROPERTY: Processing method;PROPERTY: Calculated Density (g/cm$^3$);PROPERTY: Type of test;PROPERTY: YS (MPa);Smix;am;Tm;Xm;rm;dX;da;dT;dr
243;Cr0.5 Fe1 Mn0.625 Ni0.375;;;0.4;0.15;;0.2;0.25;;;;;;;;;;FCC BCC;CAST;7.8;C;219;10.9654228;4.4815;1787.6;1.738;1.582;0.133701159;2.566554646;205.8014577;0.033899084
244;Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375;0.02;;0.392;0.147;;0.196;0.245;;;;;;;;;;FCC BCC;CAST;7.6;C;354;11.56081937;4.47267;1770.508;1.73544;1.57396;0.133564989;2.541511198;236.2664638;0.049155453
245;Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375;0.057;;0.377;0.142;;0.189;0.236;;;;;;;;;;FCC BCC;CAST;7.4;C;550;12.16476587;4.46109;1740.707;1.73244;1.56066;0.13329139;2.49561957;281.5531176;0.068438538
246;Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375;0.091;;0.364;0.136;;0.182;0.227;;;;;;;;;;OTHER;CAST;7.2;C;994;12.49814959;4.43959;1709.997;1.72636;1.54545;0.132627864;2.449503609;314.5519655;0.081802904
247;Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375;0.123;;0.351;0.132;;0.175;0.219;;;;;;;;;;OTHER;CAST;6.9;C;942;12.71551767;4.42596;1682.391;1.72243;1.53247;0.132112812;2.406848287;340.3592545;0.092162306
248;Co1 Cr1 Fe1 Mn1 Ni1;;0.2;0.2;0.2;;0.2;0.2;;;;;;;;;;FCC;WROUGHT;8;T;370;13.37442905;4.142;1790;1.766;1.568;0.138361844;2.406054031;197.2247449;0.038981395
249;Co0.2 Cr0.2 Fe1 Mn0.6;;0.1;0.5;;;0.1;0.3;;;;;;;;;;FCC ++;ANNEAL;7.8;T;250;9.708427161;4.645;1749.2;1.734;1.581;0.132075736;2.794105402;179.7246783;0.024242591
250;Co0.2 Cr0.2 Fe1 Mn0.6;;0.1;0.5;;;0.1;0.3;;;;;;;;;;FCC ++;WROUGHT;7.8;T;330;9.708427161;4.645;1749.2;1.734;1.581;0.132075736;2.794105402;179.7246783;0.024242591
251;Co0.2 Cr0.2 Fe1 Mn0.6;;0.1;0.5;;;0.1;0.3;;;;;;;;;;FCC ++;WROUGHT;7.8;T;280;9.708427161;4.645;1749.2;1.734;1.581;0.132075736;2.794105402;179.7246783;0.024242591
252;Co0.2 Cr0.2 Fe1 Mn0.6;;0.1;0.5;;;0.1;0.3;;;;;;;;;;FCC ++;WROUGHT;7.8;T;350;9.708427161;4.645;1749.2;1.734;1.581;0.132075736;2.794105402;179.7246783;0.024242591
253;Co0.2 Cr0.2 Fe1 Mn0.6;;0.1;0.5;;;0.1;0.3;;;;;;;;;;FCC ++;WROUGHT;7.8;T;298;9.708427161;4.645;1749.2;1.734;1.581;0.132075736;2.794105402;179.7246783;0.024242591
254;Co0.2 Cr0.2 Fe1 Mn0.6;;0.1;0.5;;;0.1;0.3;;;;;;;;;;FCC ++;WROUGHT;7.8;T;400;9.708427161;4.645;1749.2;1.734;1.581;0.132075736;2.794105402;179.7246783;0.024242591
255;Al0.304 Co1 Cr1 Fe1 Ni1;0.071;0.232;0.232;0.232;;0.232;;;;;;;;;;;FCC;WROUGHT;7.6;T;159;12.82752351;3.02444;1790.467;1.80327;1.52914;0.107650473;0.448231468;283.0210537;0.075201097
